IATA,Name,City,Country,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Timezone2
SAV,Savannah Hilton Head International Airport,Savannah,United States,KSAV,32.12760162,-81.20210266,50,-5,A,America/New_York
OME,Nome Airport,Nome,United States,PAOM,64.5121994018555,-165.445007324219,37,-9,A,America/Anchorage
PIE,St Petersburg Clearwater International Airport,St. Petersburg,United States,KPIE,27.91020012,-82.68740082,11,-5,A,America/New_York
SCC,Deadhorse Airport,Deadhorse,United States,PASC,70.19470215,-148.4649963,65,-9,A,America/Anchorage
SAT,San Antonio International Airport,San Antonio,United States,KSAT,29.5337009429932,-98.4698028564453,809,-6,A,America/Chicago
ROC,Greater Rochester International Airport,Rochester,United States,KROC,43.1189002990723,-77.6724014282227,559,-5,A,America/New_York
RCA,Ellsworth Air Force Base,Rapid City,United States,KRCA,44.14500046,-103.1039963,3276,-7,A,America/Denver
RDU,Raleigh Durham International Airport,Raleigh-durham,United States,KRDU,35.8776016235352,-78.7874984741211,435,-5,A,America/New_York
DAY,James M Cox Dayton International Airport,Dayton,United States,KDAY,39.902400970459,-84.2193984985352,1009,-5,A,America/New_York
IAG,Niagara Falls International Airport,Niagara Falls,United States,KIAG,43.1072998046875,-78.9461975097656,589,-5,A,America/New_York
PHF,Newport News Williamsburg International Airport,Newport News,United States,KPHF,37.13190079,-76.49299622,42,-5,A,America/New_York
TUS,Tucson International Airport,Tucson,United States,KTUS,32.1161003112793,-110.94100189209,2643,-7,N,America/Phoenix
PVD,Theodore Francis Green State Airport,Providence,United States,KPVD,41.732601,-71.420403,55,-5,A,America/New_York
SBY,Salisbury Ocean City Wicomico Regional Airport,Salisbury,United States,KSBY,38.3404998779297,-75.5102996826172,52,-5,A,America/New_York
BUR,Bob Hope Airport,Burbank,United States,KBUR,34.2006988525391,-118.359001159668,778,-8,A,America/Los_Angeles
DTW,Detroit Metropolitan Wayne County Airport,Detroit,United States,KDTW,42.2123985290527,-83.353401184082,645,-5,A,America/New_York
TPA,Tampa International Airport,Tampa,United States,KTPA,27.9755001068115,-82.533203125,26,-5,A,America/New_York
HIB,Range Regional Airport,Hibbing,United States,KHIB,47.38660049,-92.83899689,1354,-6,A,America/Chicago
MAF,Midland International Airport,Midland,United States,KMAF,31.9424991607666,-102.202003479004,2871,-6,A,America/Chicago
GRB,Austin Straubel International Airport,Green Bay,United States,KGRB,44.4850997924805,-88.1296005249023,695,-6,A,America/Chicago
AGS,Augusta Regional At Bush Field,Bush Field,United States,KAGS,33.3698997497559,-81.9645004272461,144,-5,A,America/New_York
ISN,Sloulin Field International Airport,Williston,United States,KISN,48.177898407,-103.641998291,1982,-6,A,America/Chicago
LIT,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,United States,KLIT,34.7294006348,-92.2242965698,262,-6,A,America/Chicago
SWF,Stewart International Airport,Newburgh,United States,KSWF,41.5041007995605,-74.1047973632812,491,-5,A,America/New_York
TBN,Waynesville-St. Robert Regional Forney field,Fort Leonardwood,United States,KTBN,37.74160004,-92.14070129,1159,-6,A,America/Chicago
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,KDFW,32.896801,-97.038002,607,-6,A,America/Chicago
MLB,Melbourne International Airport,Melbourne,United States,KMLB,28.1028003692627,-80.6453018188477,33,-5,A,America/New_York
AUS,Austin Bergstrom International Airport,Austin,United States,KAUS,30.1944999694824,-97.6698989868164,542,-6,A,America/Chicago
LCK,Rickenbacker International Airport,Columbus,United States,KLCK,39.813801,-82.927803,744,-5,A,America/New_York
MQT,Sawyer International Airport,Gwinn,United States,KSAW,46.3535995483,-87.395401001,1221,-5,A,America/New_York
TYS,McGhee Tyson Airport,Knoxville,United States,KTYS,35.81100082,-83.9940033,981,-5,A,America/New_York
STL,St Louis Lambert International Airport,St. Louis,United States,KSTL,38.748697,-90.370003,618,-6,A,America/Chicago
SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport,Wichita Falls,United States,KSPS,33.9888,-98.491898,1019,-6,A,America/Chicago
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,KATL,33.6367,-84.428101,1026,-5,A,America/New_York
GRR,Gerald R. Ford International Airport,Grand Rapids,United States,KGRR,42.88079834,-85.52279663,794,-5,A,America/New_York
FAT,Fresno Yosemite International Airport,Fresno,United States,KFAT,36.7761993408203,-119.718002319336,336,-8,A,America/Los_Angeles
IPL,Imperial County Airport,Imperial,United States,KIPL,32.8342018127,-115.57900238,-54,-8,A,America/Los_Angeles
BNA,Nashville International Airport,Nashville,United States,KBNA,36.1245002746582,-86.6781997680664,599,-6,A,America/Chicago
LRD,Laredo International Airport,Laredo,United States,KLRD,27.5438003540039,-99.4616012573242,508,-6,A,America/Chicago
OTZ,Ralph Wien Memorial Airport,Kotzebue,United States,PAOT,66.88469696,-162.598999,14,-9,A,America/Anchorage
LGA,La Guardia Airport,New York,United States,KLGA,40.77719879,-73.87259674,21,-5,A,America/New_York
TLH,Tallahassee Regional Airport,Tallahassee,United States,KTLH,30.3964996337891,-84.3503036499023,81,-5,A,America/New_York
ACT,Waco Regional Airport,Waco,United States,KACT,31.6112995147705,-97.2304992675781,516,-6,A,America/Chicago
MKK,Molokai Airport,Molokai,United States,PHMK,21.1529006958008,-157.095993041992,454,-10,N,Pacific/Honolulu
SJT,San Angelo Regional Mathis Field,San Angelo,United States,KSJT,31.3577003479004,-100.496002197266,1919,-6,A,America/Chicago
CIC,Chico Municipal Airport,Chico,United States,KCIC,39.79539871,-121.8580017,240,-8,A,America/Los_Angeles
BTV,Burlington International Airport,Burlington,United States,KBTV,44.4719009399,-73.1532974243,335,-5,A,America/New_York
JAX,Jacksonville International Airport,Jacksonville,United States,KJAX,30.4941005706787,-81.6878967285156,30,-5,A,America/New_York
DRO,Durango La Plata County Airport,Durango,United States,KDRO,37.1515007019,-107.753997803,6685,-7,A,America/Denver
IAD,Washington Dulles International Airport,Washington,United States,KIAD,38.94449997,-77.45580292,312,-5,A,America/New_York
CLL,Easterwood Field,College Station,United States,KCLL,30.58860016,-96.36380005,320,-6,A,America/Chicago
MKE,General Mitchell International Airport,Milwaukee,United States,KMKE,42.9472007751465,-87.896598815918,723,-6,A,America/Chicago
ABI,Abilene Regional Airport,Abilene,United States,KABI,32.4113006592,-99.6819000244,1791,-6,A,America/Chicago
COU,Columbia Regional Airport,Columbia,United States,KCOU,38.8180999755859,-92.219596862793,889,-6,A,America/Chicago
PDX,Portland International Airport,Portland,United States,KPDX,45.58869934,-122.5979996,31,-8,A,America/Los_Angeles
PBI,Palm Beach International Airport,West Palm Beach,United States,KPBI,26.6832008361816,-80.0955963134766,19,-5,A,America/New_York
OGS,Ogdensburg International Airport,Ogdensburg,United States,KOGS,44.6819000244,-75.4654998779,297,-5,A,America/New_York
HNL,Daniel K Inouye International Airport,Honolulu,United States,PHNL,21.32062,-157.924228,13,-10,N,Pacific/Honolulu
DSM,Des Moines International Airport,Des Moines,United States,KDSM,41.5340003967285,-93.6631011962891,958,-6,A,America/Chicago
EWN,Coastal Carolina Regional Airport,New Bern,United States,KEWN,35.0730018616,-77.0429000854,18,-5,A,America/New_York
SAN,San Diego International Airport,San Diego,United States,KSAN,32.7336006165,-117.190002441,17,-8,A,America/Los_Angeles
MLU,Monroe Regional Airport,Monroe,United States,KMLU,32.5108985900879,-92.0376968383789,79,-6,A,America/Chicago
ONT,Ontario International Airport,Ontario,United States,KONT,34.0559997558594,-117.600997924805,944,-8,A,America/Los_Angeles
ROW,Roswell International Air Center Airport,Roswell,United States,KROW,33.3016014099121,-104.53099822998,3671,-7,A,America/Denver
BRO,Brownsville South Padre Island International Airport,Brownsville,United States,KBRO,25.9067993164062,-97.4259033203125,22,-6,A,America/Chicago
DHN,Dothan Regional Airport,Dothan,United States,KDHN,31.3213005065918,-85.4496002197266,401,-6,A,America/Chicago
FMN,Four Corners Regional Airport,Farmington,United States,KFMN,36.7411994934,-108.230003357,5506,-7,A,America/Denver
CRP,Corpus Christi International Airport,Corpus Christi,United States,KCRP,27.7703990936279,-97.5011978149414,44,-6,A,America/Chicago
SYR,Syracuse Hancock International Airport,Syracuse,United States,KSYR,43.111198425293,-76.1063003540039,421,-5,A,America/New_York
MDW,Chicago Midway International Airport,Chicago,United States,KMDW,41.785999,-87.752403,620,-6,A,America/Chicago
SJC,Norman Y. Mineta San Jose International Airport,San Jose,United States,KSJC,37.362598,-121.929001,62,-8,A,America/Los_Angeles
HOB,Lea County Regional Airport,Hobbs,United States,KHOB,32.6875,-103.2170029,3661,-7,A,America/Denver
DEN,Denver International Airport,Denver,United States,KDEN,39.861698150635,-104.672996521,5431,-7,A,America/Denver
PHL,Philadelphia International Airport,Philadelphia,United States,KPHL,39.871898651123,-75.241096496582,36,-5,A,America/New_York
SUX,Sioux Gateway Col. Bud Day Field,Sioux City,United States,KSUX,42.40259933,-96.38439941,1098,-6,A,America/Chicago
MCN,Middle Georgia Regional Airport,Macon,United States,KMCN,32.692798614502,-83.6492004394531,354,-5,A,America/New_York
PMD,Palmdale Regional/USAF Plant 42 Airport,Palmdale,United States,KPMD,34.62939835,-118.0849991,2543,-8,A,America/Los_Angeles
CMH,John Glenn Columbus International Airport,Columbus,United States,KCMH,39.998001,-82.891899,815,-5,A,America/New_York
TXK,Texarkana Regional Webb Field,Texarkana,United States,KTXK,33.4537010192871,-93.9909973144531,390,-6,A,America/Chicago
PBG,Plattsburgh International Airport,Plattsburgh,United States,KPBG,44.6509017944336,-73.4681015014648,234,-5,A,America/New_York
ANC,Ted Stevens Anchorage International Airport,Anchorage,United States,PANC,61.1744003295898,-149.996002197266,152,-9,A,America/Anchorage
GRK,Robert Gray  Army Air Field Airport,Killeen,United States,KGRK,31.067199707,-97.8289031982,1015,-6,A,America/Chicago
BLI,Bellingham International Airport,Bellingham,United States,KBLI,48.7928009033203,-122.53800201416,170,-8,A,America/Los_Angeles
MOB,Mobile Regional Airport,Mobile,United States,KMOB,30.691200256348,-88.242797851562,219,-6,A,America/Chicago
SAF,Santa Fe Municipal Airport,Santa Fe,United States,KSAF,35.617099762,-106.088996887,6348,-7,A,America/Denver
BLV,Scott AFB/Midamerica Airport,Belleville,United States,KBLV,38.5452,-89.835197,459,-6,A,America/Chicago
DRT,Del Rio International Airport,Del Rio,United States,KDRT,29.3742008209,-100.927001953,1002,-6,A,America/Chicago
RSW,Southwest Florida International Airport,Fort Myers,United States,KRSW,26.5361995697021,-81.7552032470703,30,-5,A,America/New_York
AKN,King Salmon Airport,King Salmon,United States,PAKN,58.67679977,-156.6490021,73,-9,A,America/Anchorage
JHM,Kapalua Airport,Lahania-kapalua,United States,PHJH,20.9629001617432,-156.673004150391,256,-10,N,Pacific/Honolulu
JFK,John F Kennedy International Airport,New York,United States,KJFK,40.63980103,-73.77890015,13,-5,A,America/New_York
CYS,Cheyenne Regional Jerry Olson Field,Cheyenne,United States,KCYS,41.15570068,-104.8119965,6159,-7,A,America/Denver
SCK,Stockton Metropolitan Airport,Stockton,United States,KSCK,37.894199371338,-121.2379989624,33,-8,A,America/Los_Angeles
CHS,Charleston Air Force Base-International Airport,Charleston,United States,KCHS,32.89860153,-80.04049683,46,-5,A,America/New_York
RNO,Reno Tahoe International Airport,Reno,United States,KRNO,39.4990997314453,-119.767997741699,4415,-8,A,America/Los_Angeles
KTN,Ketchikan International Airport,Ketchikan,United States,PAKT,55.35559845,-131.7140045,89,-9,A,America/Anchorage
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,United States,KBHM,33.56290054,-86.75350189,650,-6,A,America/Chicago
MOD,Modesto City Co-Harry Sham Field,Modesto,United States,KMOD,37.62580109,-120.9540024,97,-8,A,America/Los_Angeles
SMF,Sacramento International Airport,Sacramento,United States,KSMF,38.6954002380371,-121.591003417969,27,-8,A,America/Los_Angeles
COS,City of Colorado Springs Municipal Airport,Colorado Springs,United States,KCOS,38.805801,-104.700996,6187,-7,A,America/Denver
BUF,Buffalo Niagara International Airport,Buffalo,United States,KBUF,42.94049835,-78.73220062,728,-5,A,America/New_York
PAE,Snohomish County (Paine Field) Airport,Everett,United States,KPAE,47.90629959,-122.2819977,606,-8,A,America/Los_Angeles
CDC,Cedar City Regional Airport,Cedar City,United States,KCDC,37.701000213623,-113.098999023438,5622,-7,A,America/Denver
BDL,Bradley International Airport,Windsor Locks,United States,KBDL,41.9388999939,-72.6831970215,173,-5,A,America/New_York
MFE,Mc Allen Miller International Airport,Mcallen,United States,KMFE,26.17580032,-98.23860168,107,-6,A,America/Chicago
LBB,Lubbock Preston Smith International Airport,Lubbock,United States,KLBB,33.663601,-101.822998,3282,-6,A,America/Chicago
ORD,Chicago O'Hare International Airport,Chicago,United States,KORD,41.9786,-87.9048,672,-6,A,America/Chicago
FAI,Fairbanks International Airport,Fairbanks,United States,PAFA,64.81510162,-147.8560028,439,-9,A,America/Anchorage
ART,Watertown International Airport,Watertown,United States,KART,43.9919013977051,-76.0216979980469,325,-5,A,America/New_York
PSP,Palm Springs International Airport,Palm Springs,United States,KPSP,33.8297004699707,-116.50700378418,477,-8,A,America/Los_Angeles
AMA,Rick Husband Amarillo International Airport,Amarillo,United States,KAMA,35.219398,-101.706001,3607,-6,A,America/Chicago
FOD,Fort Dodge Regional Airport,Fort Dodge,United States,KFOD,42.55149841,-94.19259644,1156,-6,A,America/Chicago
FOE,Topeka Regional Airport - Forbes Field,Topeka,United States,KFOE,38.9509010315,-95.6635971069,1078,-6,A,America/Chicago
ILM,Wilmington International Airport,Wilmington,United States,KILM,34.2705993652344,-77.9026031494141,32,-5,A,America/New_York
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,United States,KBTR,30.533199,-91.149597,70,-6,A,America/Chicago
TYR,Tyler Pounds Regional Airport,Tyler,United States,KTYR,32.3540992736816,-95.4023971557617,544,-6,A,America/Chicago
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,KBWI,39.1754,-76.668297,146,-5,A,America/New_York
LNY,Lanai Airport,Lanai,United States,PHNY,20.7856006622314,-156.95100402832,1308,-10,N,Pacific/Honolulu
AEX,Alexandria International Airport,Alexandria,United States,KAEX,31.3274002075195,-92.5497970581055,89,-6,A,America/Chicago
CDB,Cold Bay Airport,Cold Bay,United States,PACD,55.2061004638672,-162.725006103516,96,-9,A,America/Anchorage
TUL,Tulsa International Airport,Tulsa,United States,KTUL,36.1983985900879,-95.8880996704102,677,-6,A,America/Chicago
SIT,Sitka Rocky Gutierrez Airport,Sitka,United States,PASI,57.0471000671387,-135.361999511719,21,-9,A,America/Anchorage
ISP,Long Island Mac Arthur Airport,Islip,United States,KISP,40.79520035,-73.10019684,99,-5,A,America/New_York
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,KMSP,44.882,-93.221802,841,-6,A,America/Chicago
ILG,New Castle Airport,Wilmington,United States,KILG,39.67869949,-75.60649872,80,-5,A,America/New_York
DUT,Unalaska Airport,Unalaska,United States,PADU,53.900100708,-166.544006348,22,-9,A,America/Anchorage
MSY,Louis Armstrong New Orleans International Airport,New Orleans,United States,KMSY,29.9934005737305,-90.2580032348633,4,-6,A,America/Chicago
PWM,Portland International Jetport Airport,Portland,United States,KPWM,43.64619827,-70.30930328,76,-5,A,America/New_York
OKC,Will Rogers World Airport,Oklahoma City,United States,KOKC,35.3931007385254,-97.600700378418,1295,-6,A,America/Chicago
ALB,Albany International Airport,Albany,United States,KALB,42.7482986450195,-73.8016967773438,285,-5,A,America/New_York
SNA,John Wayne Airport-Orange County Airport,Santa Ana,United States,KSNA,33.67570114,-117.8679962,56,-8,A,America/Los_Angeles
CPR,Casper-Natrona County International Airport,Casper,United States,KCPR,42.908001,-106.463997,5350,-7,A,America/Denver
VPS,Destin-Ft Walton Beach Airport,Valparaiso,United States,KVPS,30.4832,-86.525398,87,-6,A,America/Chicago
EYW,Key West International Airport,Key West,United States,KEYW,24.5561008453369,-81.7595977783203,3,-5,A,America/New_York
CLT,Charlotte Douglas International Airport,Charlotte,United States,KCLT,35.2140007019043,-80.9430999755859,748,-5,A,America/New_York
LAS,McCarran International Airport,Las Vegas,United States,KLAS,36.08010101,-115.1520004,2181,-8,A,America/Los_Angeles
MCO,Orlando International Airport,Orlando,United States,KMCO,28.4293994903564,-81.3089981079102,96,-5,A,America/New_York
FLO,Florence Regional Airport,Florence,United States,KFLO,34.1853981018066,-79.7238998413086,146,-5,A,America/New_York
GTF,Great Falls International Airport,Great Falls,United States,KGTF,47.48199844,-111.3710022,3680,-7,A,America/Denver
YNG,Youngstown Warren Regional Airport,Youngstown,United States,KYNG,41.26070023,-80.67910004,1192,-5,A,America/New_York
PUW,Pullman Moscow Regional Airport,Pullman,United States,KPUW,46.7439,-117.110001,2556,-8,A,America/Los_Angeles
LWS,Lewiston Nez Perce County Airport,Lewiston,United States,KLWS,46.3745002746582,-117.014999389648,1442,-8,A,America/Los_Angeles
ELM,Elmira Corning Regional Airport,Elmira,United States,KELM,42.1599006652832,-76.8916015625,954,-5,A,America/New_York
ITH,Ithaca Tompkins Regional Airport,Ithaca,United States,KITH,42.4910011291504,-76.4583969116211,1099,-5,A,America/New_York
MRY,Monterey Peninsula Airport,Monterey,United States,KMRY,36.5870018005371,-121.843002319336,257,-8,A,America/Los_Angeles
SBA,Santa Barbara Municipal Airport,Santa Barbara,United States,KSBA,34.42620087,-119.8399963,13,-8,A,America/Los_Angeles
DAB,Daytona Beach International Airport,Daytona Beach,United States,KDAB,29.179899,-81.058098,34,-5,A,America/New_York
HVN,Tweed New Haven Airport,New Haven,United States,KHVN,41.26369858,-72.88680267,12,-5,A,America/New_York
AVL,Asheville Regional Airport,Asheville,United States,KAVL,35.4361991882324,-82.5418014526367,2165,-5,A,America/New_York
GSO,Piedmont Triad International Airport,Greensboro,United States,KGSO,36.0978012084961,-79.9373016357422,925,-5,A,America/New_York
FSD,Joe Foss Field Airport,Sioux Falls,United States,KFSD,43.5820007324,-96.741897583,1429,-6,A,America/Chicago
MHT,Manchester-Boston Regional Airport,Manchester NH,United States,KMHT,42.932598,-71.435699,266,-5,A,America/New_York
APF,Naples Municipal Airport,Naples,United States,KAPF,26.1525993347,-81.7752990723,8,-5,A,America/New_York
SDF,Louisville International Standiford Field,Louisville,United States,KSDF,38.1744,-85.736,501,-5,A,America/New_York
CHO,Charlottesville Albemarle Airport,Charlottesville VA,United States,KCHO,38.138599395752,-78.4529037475586,639,-5,A,America/New_York
ROA,Roanoke-Blacksburg Regional Airport,Roanoke VA,United States,KROA,37.3255,-79.975403,1175,-5,A,America/New_York
LEX,Blue Grass Airport,Lexington KY,United States,KLEX,38.0364990234375,-84.6059036254883,979,-5,A,America/New_York
EVV,Evansville Regional Airport,Evansville,United States,KEVV,38.0369987488,-87.5324020386,418,-6,A,America/Chicago
ABQ,Albuquerque International Sunport,Albuquerque,United States,KABQ,35.040199,-106.609001,5355,-7,A,America/Denver
BZN,Gallatin Field,Bozeman,United States,KBZN,45.77750015,-111.1529999,4473,-7,A,America/Denver
BIL,Billings Logan International Airport,Billings,United States,KBIL,45.8077011108398,-108.542999267578,3652,-7,A,America/Denver
BTM,Bert Mooney Airport,Butte,United States,KBTM,45.9547996520996,-112.497001647949,5550,-7,A,America/Denver
TVC,Cherry Capital Airport,Traverse City,United States,KTVC,44.7414016723633,-85.5821990966797,624,-5,A,America/New_York
JAC,Jackson Hole Airport,Jacksn Hole,United States,KJAC,43.6072998046875,-110.737998962402,6451,-7,A,America/Denver
RFD,Chicago Rockford International Airport,Rockford,United States,KRFD,42.1954002380371,-89.0971984863281,742,-6,A,America/Chicago
GSP,Greenville Spartanburg International Airport,Greenville,United States,KGSP,34.8956985474,-82.2189025879,964,-5,A,America/New_York
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,United States,KBMI,40.47710037,-88.91590118,871,-6,A,America/Chicago
GPT,Gulfport Biloxi International Airport,Gulfport,United States,KGPT,30.4073009490967,-89.0700988769531,28,-6,A,America/Chicago
AZO,Kalamazoo Battle Creek International Airport,Kalamazoo,United States,KAZO,42.2349014282227,-85.5521011352539,874,-5,A,America/New_York
TOL,Toledo Express Airport,Toledo,United States,KTOL,41.58679962,-83.80780029,683,-5,A,America/New_York
FWA,Fort Wayne International Airport,Fort Wayne,United States,KFWA,40.97850037,-85.19509888,814,-5,A,America/New_York
DEC,Decatur Airport,Decatur,United States,KDEC,39.8345985412598,-88.8656997680664,682,-6,A,America/Chicago
CID,The Eastern Iowa Airport,Cedar Rapids,United States,KCID,41.8847007751465,-91.7108001708984,869,-6,A,America/Chicago
LSE,La Crosse Municipal Airport,La Crosse,United States,KLSE,43.879002,-91.256699,655,-6,A,America/Chicago
CWA,Central Wisconsin Airport,Wassau,United States,KCWA,44.7775993347,-89.6668014526,1277,-6,A,America/Chicago
PIA,General Wayne A. Downing Peoria International Airport,Peoria,United States,KPIA,40.6641998291,-89.6932983398,660,-6,A,America/Chicago
ATW,Appleton International Airport,Appleton,United States,KATW,44.2580986023,-88.5190963745,918,-6,A,America/Chicago
